Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.02,imagenes/Mango.jpeg,0.4341155418941499,None,0,0,0,2,0,34,34,10,,,,,,,,,,,,,,,,,,,,,,,68.00752982000705,None,68.99089650000678,None,5.9609375,1.149951899977168,68.99089650000678,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,0,0,2,0,35,35,7,,,,,,,,,,,,,,,,,,,,,,,69.1909167200036,None,70.17401069999323,None,5.9609375,1.1638449000020046,70.17401069999323,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Brocoli.jpg,0.24293074945529525,None,0,1,1,3,0,0,0,21,,,,,,,,,,,,,,,,,,,,,,,70.39126312000445,None,71.37498090000008,None,5.9609375,1.132401699986076,71.37498090000008,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,1,1,3,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,71.5407258600084,None,72.54074570001103,None,5.9609375,1.2090812000096776,72.54074570001103,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,1,1,3,0,2,2,17,,,,,,,,,,,,,,,,,,,,,,,72.79067401999492,None,73.7910133000114,None,5.9609375,1.1088701999979094,73.7910133000114,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Popetas.jpg,0.9621625733302204,None,0,1,1,3,0,3,3,16,,,,,,,,,,,,,,,,,,,,,,,73.9575602799916,None,74.9412316000089,None,5.9609375,1.0679980000131764,74.9412316000089,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Rollos de canela.png,0.2610974409574519,None,0,1,1,3,0,4,4,34,,,,,,,,,,,,,,,,,,,,,,,75.0574755199894,None,76.04412219999358,None,5.9609375,1.0512227000144776,76.04412219999358,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Pandebono.png,0.8988574378129985,None,0,1,1,3,0,5,5,26,,,,,,,,,,,,,,,,,,,,,,,76.14113211999648,None,77.12412890000269,None,5.9609375,1.1330213000182994,77.12412890000269,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,1,1,3,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,77.32374307999562,None,78.30855429999065,None,5.9609375,1.2023327999922913,78.30855429999065,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/pistachos.jpg,0.7450869742741464,None,0,1,1,3,0,7,7,30,,,,,,,,,,,,,,,,,,,,,,,78.54076066001144,79.5407462999865,79.52411850000499,None,5.9609375,1.379939899983583,79.52411850000499,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,1,1,3,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,79.95720682000393,None,80.9414298000047,None,5.9609375,1.0195752999861725,80.9414298000047,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Banano.jpeg,0.2267656716538785,None,0,1,1,3,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,81.00739302001313,None,81.99061919999076,None,5.9609375,1.4192610000027344,81.99061919999076,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,1,1,3,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,82.45763281998808,None,83.44085829998949,None,5.9609375,1.1954113000247162,83.44085829998949,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
