Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,textbox_prueba_2.started,textbox_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,text_subasta1.started,text_subasta1.stopped,text_subasta2.started,text_subasta2.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_producto.started,text_producto.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes/Muffin de banano.png,0.9610615059009696,None,0,0,0,3,0,19,19,25,,,,,,,,,,,,,,,,,,,,,,,,,44.295575899985856,None,45.261862299987115,None,1,1.2857627000194043,45.261862299987115,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Papas picantes.jpg,0.524978898672612,None,0,0,0,3,0,20,20,27,,,,,,,,,,,,,,,,,,,,,,,,,45.59537859999691,46.59516699996311,46.57937429996673,None,1,1.0970422999816947,46.57937429996673,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Pescadito.png,0.7172825011486081,None,0,0,0,3,0,21,21,29,,,,,,,,,,,,,,,,,,,,,,,,,46.72874999993947,None,47.71220999996876,None,1,1.1987885999842547,47.71220999996876,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Popetas.jpg,0.9621625733302204,None,0,0,0,3,0,22,22,16,,,,,,,,,,,,,,,,,,,,,,,,,47.97889279997326,None,48.96211709995987,None,1,1.2843867000192404,48.96211709995987,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,3,0,23,23,14,,,,,,,,,,,,,,,,,,,,,,,,,49.278546699957225,50.27900099998806,50.27900099998806,None,1,1.2432237999746576,50.27900099998806,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Alpinito.jpg,0.7416150880621702,None,0,0,0,3,0,24,24,0,,,,,,,,,,,,,,,,,,,,,,,,,50.56172249994707,51.56177849997766,51.56177849997766,None,1,1.4250299999839626,51.56177849997766,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,0,0,3,0,25,25,18,,,,,,,,,,,,,,,,,,,,,,,,,52.01201589998673,53.01181279995944,53.01181279995944,None,1,1.17254179995507,53.01181279995944,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,0,0,3,0,26,26,12,,,,,,,,,,,,,,,,,,,,,,,,,53.21167979994207,54.21167409996269,54.21167409996269,None,1,1.3071458999766037,54.21167409996269,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,0,0,3,0,27,27,15,,,,,,,,,,,,,,,,,,,,,,,,,54.54550059994799,55.54515739995986,55.54515739995986,None,1,1.3092700999695808,55.54515739995986,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,0,0,3,0,28,28,9,,,,,,,,,,,,,,,,,,,,,,,,,55.961514399934096,56.96149289997993,56.96149289997993,None,1,1.224959300016053,56.96149289997993,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,0,0,3,0,29,29,17,,,,,,,,,,,,,,,,,,,,,,,,,57.2283501999802,None,58.211638499982655,None,1,1.3861594999907538,58.211638499982655,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Pizza.png,0.21192443516553439,None,0,0,0,3,0,30,30,31,,,,,,,,,,,,,,,,,,,,,,,,,58.62794329999597,59.628209299989976,59.628209299989976,None,1,1.5038515000487678,59.628209299989976,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,0,0,3,0,31,31,7,,,,,,,,,,,,,,,,,,,,,,,,,60.178011899976994,None,61.161334199947305,None,1,1.1481010999996215,61.161334199947305,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Pandebono.png,0.8988574378129985,None,0,0,0,3,0,32,32,26,,,,,,,,,,,,,,,,,,,,,,,,,61.34490449999576,62.34494849998737,62.34494849998737,None,1,1.22223319998011,62.34494849998737,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Uvas.jpg,0.4959291644143431,None,0,0,0,3,0,33,33,19,,,,,,,,,,,,,,,,,,,,,,,,,62.594596199976515,63.59545729996171,63.59545729996171,None,1,1.2931074000080116,63.59545729996171,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Coliflor.jpg,0.3640740491088985,None,0,0,0,3,0,34,34,24,,,,,,,,,,,,,,,,,,,,,,,,,63.91151909995242,64.91098549996968,64.91098549996968,None,1,1.3420720999711193,64.91098549996968,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,0,0,3,0,35,35,13,,,,,,,,,,,,,,,,,,,,,,,,,65.27789109997101,None,66.27795609994791,None,1,1.1540930999908596,66.27795609994791,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
400,0.02,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,1,1,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,66.47783569996244,None,67.46112709998852,None,1,1.2191208000294864,67.46112709998852,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
400,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,1,1,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,67.74448599996394,68.74421259999508,68.7276674999739,None,1,1.2485716000082903,68.7276674999739,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
