Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,text_4.started,text_4.stopped,texto_final.started,texto_final.stopped,participant,session,date,expName,psychopyVersion,frameRate,
400,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,1,1,0,0,2,2,9,,,72.97828914001585,None,73.94578240002738,None,3.28515625,1.3047899000230245,73.94578240002738,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,1,1,0,0,3,3,21,,,74.31162493999582,None,75.29468510003062,None,3.7734375,1.2641195000032894,75.29468510003062,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Pepinillos.png,0.0038966441241518046,None,0,1,1,0,0,4,4,28,,,75.6449697800097,76.6447848000098,76.6447848000098,None,3.3958333333333335,1.2248154999688268,76.6447848000098,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,1,1,0,0,5,5,27,,,76.894915220025,77.89461309998296,77.89461309998296,None,3.48046875,1.304808899993077,77.89461309998296,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Chontaduro.png,0.8693553300418813,None,0,1,1,0,0,6,6,23,,,78.24432674001437,79.24435970000923,79.24435970000923,None,3.48046875,1.3054620999610052,79.24435970000923,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Popetas.jpg,0.9621625733302204,None,0,1,1,0,0,7,7,16,,,79.64441369997803,80.64437890000409,80.62802689999808,None,3.48046875,1.2805408000131138,80.62802689999808,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,1,1,0,0,8,8,2,,,80.99444987998577,81.99451079999562,81.99451079999562,None,2.256510416666667,1.2429922000155784,81.99451079999562,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Pandebono.png,0.8988574378129985,None,0,1,1,0,0,9,9,26,,,82.31098557998193,None,83.29430130001856,None,4.483072916666667,1.1977756000123918,83.29430130001856,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,1,1,0,0,10,10,6,,,83.57770387998316,84.57784420001553,84.57784420001553,None,1.625,1.2430349999922328,84.57784420001553,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,1,1,0,0,11,11,18,,,84.87749876002782,None,85.86087030003546,None,4.639322916666667,1.200597699964419,85.86087030003546,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,1,1,0,0,12,12,3,,,86.16068939998513,None,87.16103840002324,None,3.2200520833333335,1.160147299990058,87.16103840002324,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,1,1,0,0,13,13,15,,,87.36077894000337,None,88.3441412000102,None,5.329427083333334,1.2808686000062153,88.3441412000102,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Kiwi.jpg,0.3929145850942286,None,0,1,1,0,0,14,14,8,,,88.67726254001028,None,89.66062059998512,None,2.9401041666666665,1.2028821000130847,89.66062059998512,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,1,1,0,0,15,15,33,,,89.94406487997621,90.94371740001952,90.92747890000464,None,4.248697916666667,1.1297840000479482,90.92747890000464,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Almojabanas.png,0.6725051200713246,None,0,1,1,0,0,16,16,20,,,91.14385488001862,92.14400269999169,92.14400269999169,None,3.32421875,1.1746734000043944,92.14400269999169,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Banano.jpeg,0.2267656716538785,None,0,1,1,0,0,17,17,1,,,92.37713335998124,None,93.36040230002254,None,1.9830729166666665,1.199292300036177,93.36040230002254,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Croissant.jpg,0.5824748589948932,None,0,1,1,0,0,18,18,5,,,93.64390118002193,94.64389700000174,94.64389700000174,None,3.897135416666667,1.2457527000224218,94.64389700000174,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Pizzetas.png,0.3295951589873042,None,0,1,1,0,0,19,19,32,,,94.96042188002029,None,95.94495680002728,None,5.016927083333334,1.1801140999887139,95.94495680002728,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Canelazo.png,0.6730479360767814,None,0,1,1,0,0,20,20,22,,,96.26031694000122,None,97.24489159998484,None,3.1875,1.1985150999971665,97.24489159998484,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,1,1,0,0,21,21,12,,,97.49375924000051,98.49358439998468,98.49358439998468,None,4.548177083333333,1.2245132999960333,98.49358439998468,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Alpinito.jpg,0.7416150880621702,None,0,1,1,0,0,22,22,0,,,98.82695001997054,None,99.81043050001608,None,2.46484375,1.2540752000059001,99.81043050001608,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,1,1,0,0,23,23,35,,,100.09400801999728,None,101.09332550002728,None,3.649739583333333,1.2073874000343494,101.09332550002728,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
