Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
400,0.02,imagenes/Chontaduro.png,0.8693553300418813,None,0,1,1,0,0,33,33,23,,,154.8609894899884,155.86071450007148,155.86071450007148,None,3.4869791666666665,1.586628400022164,155.86071450007148,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,1,1,0,0,34,34,13,,,156.47735068998298,157.47730700008105,157.47730700008105,None,3.4869791666666665,1.6033175999764353,157.47730700008105,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,1,1,0,0,35,35,21,,,158.11038419003597,159.1105015000794,159.1105015000794,None,3.4869791666666665,1.5428409000160173,159.1105015000794,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1000,0.0,imagenes/Banano.jpeg,0.2267656716538785,None,0,2,2,3,0,0,0,1,,,159.69350118001455,160.6937162000686,160.6937162000686,None,3.4869791666666665,1.5045355999609455,160.6937162000686,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1000,0.0,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,2,2,3,0,1,1,13,,,161.2436962800333,None,162.21105609997176,None,3.4869791666666665,1.1023803999414667,162.21105609997176,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1000,0.0,imagenes/Muffin de banano.png,0.9610615059009696,None,0,2,2,3,0,2,2,25,,,162.3935796700185,163.3936141000595,163.3936141000595,None,3.4869791666666665,1.8870849000522867,163.3936141000595,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1000,0.0,imagenes/pistachos.jpg,0.7450869742741464,None,0,2,2,3,0,3,3,30,,,164.31020188999827,165.3101818000432,165.2936435000738,None,3.4869791666666665,1.4463733999291435,165.2936435000738,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1000,0.0,imagenes/Canelazo.png,0.6730479360767814,None,0,2,2,3,0,4,4,22,,,165.843520250055,166.8435454000719,166.82665850000922,None,3.4869791666666665,2.6652300999267027,166.82665850000922,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1000,0.0,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,2,2,3,0,5,5,7,,,168.54314318005925,169.54324310005177,169.54324310005177,None,3.4869791666666665,1.4904728999827057,169.54324310005177,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
