Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,intro.started,intro.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,text_4.started,text_4.stopped,image.started,image.stopped,texto_final.started,texto_final.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes/Rollo de queso.png,0.9201641182756888,None,0,1,1,3,0,9,9,33,,,283.6390591600066,None,284.62235469999723,None,4.06640625,1.3776157999964198,284.62235469999723,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Brownie.jpg,0.2838924074864093,None,0,1,1,3,0,10,10,3,,,285.05551856000966,286.0554712000012,286.0554712000012,None,4.678385416666667,1.140233399986755,286.0554712000012,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Brocoli.jpg,0.24293074945529525,None,0,1,1,3,0,11,11,21,,,286.2223187300042,287.222024600007,287.222024600007,None,3.0833333333333335,1.0103990000061458,287.222024600007,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,1,1,3,0,12,12,6,,,287.2720162600017,288.2723185000068,288.2723185000068,None,3.2721354166666665,1.2374147000082303,288.2723185000068,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Pizza.png,0.21192443516553439,None,0,1,1,3,0,13,13,31,,,288.53861603000405,289.53868579999835,289.53868579999835,None,3.79296875,1.1762417999998434,289.53868579999835,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Canelazo.png,0.6730479360767814,None,0,1,1,3,0,14,14,22,,,289.7553941600054,290.75527819999843,290.75527819999843,None,2.848958333333333,1.1548654999933206,290.75527819999843,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Pepinillos.png,0.0038966441241518046,None,0,1,1,3,0,15,15,28,,,290.95564616000047,291.95566370000597,291.93866159999743,None,3.708333333333333,1.2993266999983462,291.93866159999743,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Pandebono.png,0.8988574378129985,None,0,1,1,3,0,16,16,26,,,292.28863706000266,None,293.28872850000334,None,4.151041666666667,1.095060999999987,293.28872850000334,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Alpinito.jpg,0.7416150880621702,None,0,1,1,3,0,17,17,0,,,293.43884499000706,None,294.43887050000194,None,3.51953125,1.1197374999901513,294.43887050000194,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,1,1,3,0,18,18,2,,,294.6056758600025,None,295.6049895000033,None,3.916666666666667,1.1409910999936983,295.6049895000033,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Uvas.jpg,0.4959291644143431,None,0,1,1,3,0,19,19,19,,,295.78838096000254,None,296.77156880000257,None,3.526041666666667,1.0672937000053935,296.77156880000257,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/pistachos.jpg,0.7450869742741464,None,0,1,1,3,0,20,20,30,,,296.8721251300085,None,297.85502149999957,None,3.884114583333333,1.0818135000008624,297.85502149999957,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,1,1,3,0,21,21,7,,,297.9715464300025,298.9715086000069,298.9715086000069,None,3.688802083333333,1.102988099999493,298.9715086000069,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Muffin de banano.png,0.9610615059009696,None,0,1,1,3,0,22,22,25,,,299.12193566000497,300.12150120000297,300.12150120000297,None,3.858072916666667,1.126617999994778,300.12150120000297,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,1,1,3,0,23,23,35,,,300.2715320299976,None,301.25504940000246,None,3.727864583333333,1.1819744000094943,301.25504940000246,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Croissant.jpg,0.5824748589948932,None,0,1,1,3,0,24,24,5,,,301.48817376000807,None,302.4719199000101,None,3.779947916666667,1.2115620999975363,302.4719199000101,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,1,1,3,0,25,25,18,,,302.7216479300041,303.72143510000024,303.72143510000024,None,3.7734375,1.2921437000040896,303.72143510000024,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,1,1,3,0,26,26,15,,,304.0379424299972,305.03814790000615,305.03814790000615,None,3.7734375,1.139584400007152,305.03814790000615,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Banano.jpeg,0.2267656716538785,None,0,1,1,3,0,27,27,1,,,305.20452263000334,306.20465810000314,306.20465810000314,None,3.7734375,1.24340750000556,306.20465810000314,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,1,1,3,0,28,28,9,,,306.5381142500046,307.5380684999982,307.5380684999982,None,3.799479166666667,1.1567458000063198,307.5380684999982,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,1,1,3,0,29,29,13,,,307.7378781599982,None,308.7046027000033,None,4.606770833333333,1.1363522000028752,308.7046027000033,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,1,1,3,0,30,30,14,,,308.88801723000506,None,309.87153489999764,None,3.67578125,1.0948833000002196,309.87153489999764,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Almojabanas.png,0.6725051200713246,None,0,1,1,3,0,31,31,20,,,310.0209226599982,None,311.00445750000654,None,2.666666666666667,1.146508999998332,311.00445750000654,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Mango.jpeg,0.4341155418941499,None,0,1,1,3,0,32,32,10,,,311.1879498300041,312.18766350000806,312.18766350000806,None,3.526041666666667,1.2228467999957502,312.18766350000806,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,1,1,3,0,33,33,12,,,312.4375182300064,313.4375752000051,313.4375752000051,None,3.05078125,1.121508399999584,313.4375752000051,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Pizzetas.png,0.3295951589873042,None,0,1,1,3,0,34,34,32,,,313.6042941600026,None,314.5874982000096,None,3.955729166666667,1.1648856999963755,314.5874982000096,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Manzana.jpg,0.4048420327008191,None,0,1,1,3,0,35,35,11,,,314.80420296000375,None,315.7878209000046,None,3.3111979166666665,1.1318429999955697,315.7878209000046,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1500,0.02,imagenes/Croissant.jpg,0.5824748589948932,None,0,2,2,1,0,0,0,5,,,315.970993859999,316.97065820000716,316.97065820000716,None,4.10546875,1.1279274999978952,316.97065820000716,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1500,0.02,imagenes/Kiwi.jpg,0.3929145850942286,None,0,2,2,1,0,1,1,8,,,317.121274630008,None,318.1042051999975,None,4.919270833333334,1.0963346999924397,318.1042051999975,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1500,0.02,imagenes/Alpinito.jpg,0.7416150880621702,None,0,2,2,1,0,2,2,0,,,318.270622190008,None,319.2373787999968,None,3.40234375,1.0194557000068016,319.2373787999968,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
