Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,text_subasta1.started,text_subasta1.stopped,text_subasta2.started,text_subasta2.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_producto.started,text_producto.stopped,image.started,image.stopped,texto_final.started,texto_final.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes/Almojabanas.png,0.6725051200713246,None,0,1,1,1,0,1,1,20,,,,,,,,,,,,,,,,,,,,,,,65.11651743998519,66.11661110000568,66.11661110000568,None,5.947916666666666,1.25441610001144,66.11661110000568,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Chontaduro.png,0.8693553300418813,None,0,1,1,1,0,2,2,23,,,,,,,,,,,,,,,,,,,,,,,66.3998277699895,67.39976430000388,67.39976430000388,None,5.947916666666666,1.2589057000004686,67.39976430000388,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Banano.jpeg,0.2267656716538785,None,0,1,1,1,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,67.68328227001184,None,68.68330679999781,None,5.947916666666666,1.1588532999739982,68.68330679999781,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Canelazo.png,0.6730479360767814,None,0,1,1,1,0,4,4,22,,,,,,,,,,,,,,,,,,,,,,,68.89988491001132,69.8999707000039,69.88353180000558,None,5.947916666666666,1.1286258999898564,69.88353180000558,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,1,1,1,0,5,5,13,,,,,,,,,,,,,,,,,,,,,,,70.0500406700041,71.0514731000003,71.0514731000003,None,5.947916666666666,1.1700624999939464,71.0514731000003,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,1,1,1,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,71.3330809200008,None,72.31639520000317,None,5.947916666666666,1.2341735999798402,72.31639520000317,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,1,1,1,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,72.5998060400074,None,73.59996970000793,None,5.947916666666666,1.2771835000021383,73.59996970000793,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Pandebono.png,0.8988574378129985,None,0,1,1,1,0,8,8,26,,,,,,,,,,,,,,,,,,,,,,,73.89960777000233,74.89999410000746,74.89999410000746,None,5.947916666666666,1.1735195000073873,74.89999410000746,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,1,1,1,0,9,9,17,,,,,,,,,,,,,,,,,,,,,,,75.11677373998683,None,76.1163274999999,None,5.947916666666666,1.2101798999938183,76.1163274999999,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Pizza.png,0.21192443516553439,None,0,1,1,1,0,10,10,31,,,,,,,,,,,,,,,,,,,,,,,76.34984457001265,77.35072290000971,77.35072290000971,None,5.947916666666666,1.1933917999849655,77.35072290000971,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
