Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.02,imagenes\Galletas Tosh.jpg,0.478088790487872,None,0,2,2,2,0,8,8,6,,,150.5948367000019,None,152.5788906000016,None,3.5390625,5.78586820000055,152.5788906000016,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Popetas.jpg,0.07650200324054446,None,0,2,2,2,0,9,9,16,,,156.42785000000003,158.42841630000476,158.42841630000476,None,3.5390625,2.557777999994869,158.42841630000476,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Banano.jpeg,0.651633055306917,None,0,2,2,2,0,10,10,1,,,159.02777010000136,161.02819250000175,161.01120929999888,None,3.5390625,2.5509372999949846,161.01120929999888,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Mango.jpeg,0.555669112372461,None,0,2,2,2,0,11,11,10,,,161.61087419999967,163.61162360000162,163.61162360000162,None,3.5390625,2.5712225000024773,163.61162360000162,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Kiwi.jpg,0.5893907384852061,None,0,2,2,2,0,12,12,8,,,164.2108509000027,166.2111484000052,166.2111484000052,None,3.5390625,2.3927445000008447,166.2111484000052,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\bon-bon-bun.jpg,0.7387922093313524,None,0,2,2,2,0,13,13,2,,,166.66067640000256,None,168.6448343000011,None,3.5390625,2.3981396999952267,168.6448343000011,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Papas-limon.jpg,0.020692288100133793,None,0,2,2,2,0,14,14,14,,,169.077291900001,171.07740970000305,171.07740970000305,None,3.5390625,2.0372054999970715,171.07740970000305,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Galletas-festival.jpg,0.36121121246191135,None,0,2,2,2,0,15,15,7,,,171.16060980000475,None,173.14403830000083,None,3.5390625,2.195523800000956,173.14403830000083,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Papas-pollo.jpg,0.6683114062971784,None,0,2,2,2,0,16,16,15,,,173.3769648000016,175.37747390000004,175.37747390000004,None,3.5390625,2.688259199996537,175.37747390000004,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Alpinito.jpg,0.4515332417045813,None,0,2,2,2,0,17,17,0,,,176.1935364000019,None,178.1941425000041,None,3.5390625,2.4079856000025757,178.1941425000041,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Uvas.jpg,0.7734382152670648,None,0,2,2,2,0,18,18,19,,,178.6435769000018,180.6434722000049,180.62700269999914,None,3.5390625,2.2682532999970135,180.62700269999914,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Leche-de-almendras.jpg,0.36073876480313727,None,0,2,2,2,0,19,19,9,,,181.02679490000446,183.02792950000003,183.02792950000003,None,3.5390625,2.4430085999993025,183.02792950000003,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,,,,0,2,2,2,,,,,,,,,,,,,,,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Chocoramo.jfif.jpg,0.7789437122019539,None,0,3,3,1,0,0,0,4,,,183.5269694000017,185.52700170000026,185.52700170000026,None,3.5390625,2.293231799994828,185.52700170000026,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Alpinito.jpg,0.4515332417045813,None,0,3,3,1,0,1,1,0,,,185.8764663000038,None,187.86017440000433,None,3.5390625,2.3784885999994003,187.86017440000433,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Yogurt-alpina.jpg,0.21540995091807813,None,0,3,3,1,0,2,2,18,,,188.30979780000052,None,190.29297660000157,None,3.5390625,2.6526029000015114,190.29297660000157,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Galletas Tosh.jpg,0.478088790487872,None,0,3,3,1,0,3,3,6,,,191.02623790000507,193.02656660000503,193.02656660000503,None,3.5390625,2.4534072000024025,193.02656660000503,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Manzana.jpg,0.5168162194437935,None,0,3,3,1,0,4,4,11,,,193.54292179999902,None,195.5264210000023,None,3.5390625,2.6978172000017366,195.5264210000023,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Papas-naturales.jpg,0.15856838916280946,None,0,3,3,1,0,5,5,13,,,196.25928479999857,None,198.2593788000013,None,3.5390625,2.4384684000033303,198.2593788000013,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Uvas.jpg,0.7734382152670648,None,0,3,3,1,0,6,6,19,,,198.74254060000385,200.74257000000216,200.70954899999924,None,3.5390625,2.402893500002392,200.70954899999924,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Leche-de-almendras.jpg,0.36073876480313727,None,0,3,3,1,0,7,7,9,,,201.22574539999914,203.22700220000115,203.22700220000115,None,3.5390625,2.675215399998706,203.22700220000115,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Mango.jpeg,0.555669112372461,None,0,3,3,1,0,8,8,10,,,203.94259460000467,None,205.94263150000188,None,3.5390625,2.7276659999988624,205.94263150000188,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Kiwi.jpg,0.5893907384852061,None,0,3,3,1,0,9,9,8,,,206.69208380000055,208.69267650000256,208.69267650000256,None,3.5390625,2.608320299994375,208.69267650000256,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Nutella (1).jpg,0.5277483225747329,None,0,3,3,1,0,10,10,12,,,209.3252766000005,211.32554950000485,211.32554950000485,None,3.5390625,2.605930300000182,211.32554950000485,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Brownie.jpg,0.17000143351927688,None,0,3,3,1,0,11,11,3,,,211.9919607000047,213.9922751999984,213.9756411000053,None,3.5390625,2.8813561999995727,213.9756411000053,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Banano.jpeg,0.651633055306917,None,0,3,3,1,0,12,12,1,,,214.92520440000226,216.92519710000488,216.90883549999853,None,3.5390625,2.7838601999974344,216.90883549999853,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Rosquitas (1).jpg,0.3035383390851263,None,0,3,3,1,0,13,13,17,,,217.74178020000545,None,219.7419577000037,None,3.5390625,4.608620899998641,219.7419577000037,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Galletas-festival.jpg,0.36121121246191135,None,0,3,3,1,0,14,14,7,,,222.39146170000458,None,224.375025500005,None,3.5390625,2.4955831999977818,224.375025500005,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Papas-limon.jpg,0.020692288100133793,None,0,3,3,1,0,15,15,14,,,224.92471759999898,226.92468650000228,226.90829680000024,None,3.5390625,2.6635662999979104,226.90829680000024,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Papas-pollo.jpg,0.6683114062971784,None,0,3,3,1,0,16,16,15,,,227.62453649999952,229.62455610000325,229.60791990000143,None,3.5390625,2.8130223999978625,229.60791990000143,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Croissant.jpg,0.6152458173421255,None,0,3,3,1,0,17,17,5,,,230.5244662000041,None,232.5081438999987,None,3.5390625,2.434959700003674,232.5081438999987,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\bon-bon-bun.jpg,0.7387922093313524,None,0,3,3,1,0,18,18,2,,,233.04104760000337,235.04141209999943,235.04141209999943,None,3.5390625,2.7875238000051468,235.04141209999943,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,imagenes\Popetas.jpg,0.07650200324054446,None,0,3,3,1,0,19,19,16,,,235.9406614000036,237.94132920000266,237.92463430000498,None,3.5390625,2.4987502000003587,237.92463430000498,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1500,0.02,,,,0,3,3,1,,,,,,,,,,,,,,,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
,,,,,,,,,,,,,,,,,,,,,,,238.45714099999896,None,,,,,,,
